"Full_Name";"Locality_Siege";"CountryCode";"Continent";"Region";"Y";"X";"Pop_collect";"Statut";"Entity";"Year_of_Joining";"Note";"Network_Name";"Code_Network";"EntitySimplified";"CountryName";"MembershipCode";"Adress";"lon";"lat"
"Bandundu";"Bandundu";"CD";"Africa";"Middle Africa";"-3.3168087";"17.3789697";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Congo - Kinshasa";"A97";"Bandundu, Congo - Kinshasa";17,3789697;-3,3168087
"Banfora";"Banfora";"BF";"Africa";"Western Africa";"10.6400163";"-4.7588042";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Burkina Faso";"A98";"Banfora, Burkina Faso";-4,7588042;10,6400163
"Bangangte";"Bangangte";"CM";"Africa";"Middle Africa";"5.1443561";"10.5239867";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Cameroon";"A99";"Bangangte, Cameroon";10,5239867;5,1443561
"Bangui";"Bangui";"CF";"Africa";"Middle Africa";"4.3754181";"18.5566449";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Central African Republic";"A100";"Bangui, Central African Republic";18,5581899;4,3946735
"Beau Bassin-Rose Hill";"Beau Bassin-Rose Hill";"MU";"Africa";"Eastern Africa";"-20.2230305";"57.46838300000002";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Mauritius";"A101";"Beau Bassin-Rose Hill, Mauritius";57,468383;-20,2230305
"Bertoua";"Bertoua";"CM";"Africa";"Middle Africa";"4.5791946";"13.6767958";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Cameroon";"A102";"Bertoua, Cameroon";13,6767958;4,5791946
"Beyrouth";"Beyrouth";"LB";"Asia";"Western Asia";"33.8886289";"35.4954794";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Lebanon";"A103";"Beyrouth, Lebanon";35,5017767;33,8937913
"Birni-N-Konni";"Birni-N-Konni";"NE";"Africa";"Western Africa";"13.7946714";"5.2527741";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Niger";"A104";"Birni-N-Konni, Niger";5,2527741;13,7946714
"Bizerte";"Bizerte";"TN";"Africa";"Northern Africa";"37.2746124";"9.8627243";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Tunisia";"A105";"Bizerte, Tunisia";9,8641609;37,2767579
"Bobo-Dioulasso";"Bobo-Dioulasso";"BF";"Africa";"Western Africa";"11.1649219";"-4.3051542";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Burkina Faso";"A106";"Bobo-Dioulasso, Burkina Faso";-4,3051542;11,1649219
"Bohicon";"Bohicon";"BJ";"Africa";"Western Africa";"7.1797684";"2.0714223";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Benin";"A107";"Bohicon, Benin";2,0714223;7,1797684
"Bordeaux";"Bordeaux";"FR";"Europe";"Western Europe";"44.8377890";"-0.5791800";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"France";"A108";"Bordeaux, France";-0,57918;44,837789
"Bossangoa";"Bossangoa";"CF";"Africa";"Middle Africa";"6.4977266";"17.4499404";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Central African Republic";"A109";"Bossangoa, Central African Republic";17,4499404;6,4977266
"Bouake";"Bouake";"CI";"Africa";"Western Africa";"7.6904660";"-5.0390536";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Côte d’Ivoire";"A110";"Bouake, Côte d’Ivoire";-5,0390536;7,690466
"Boutilimit";"Boutilimit";"MR";"Africa";"Western Africa";"17.5489081";"-14.6966832";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Mauritania";"A111";"Boutilimit, Mauritania";-14,6966832;17,5489081
"Brazzaville";"Brazzaville";"CG";"Africa";"Middle Africa";"-4.2633597";"15.2428853";NA;"Member";"Municipal Authority";NA;NA;"AIMF";"02164";"Municipality";"Congo - Brazzaville";"A112";"Brazzaville, Congo - Brazzaville";15,2428853;-4,2633597
