Programme;Acronym;Project Partner;Lead Partner;Street;Postal code;Town;Country;Website;Department;Legal Status;Country code;NUTS1 (or equivalent);NUTS2 (or equivalent);NUTS3 (or equivalent)
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Sandsackmanagement;Stadtgemeinde Schärding;Yes;Unterer Stadtplatz;4780;Schärding am Inn;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT31  / Oberösterreich;AT311  / Innviertel
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Inwertsetzung römischer Kulturstätten;Tourismusverband Ostbayern e.V.;Yes;Im Gewerbepark;93059;Regensburg;Germany;http://www.interreg-bayaut.net/;;public;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE23  / Oberpfalz;DE238  / Regensburg, Landkreis
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Trail for Health Nord;Paracelsus Medical University Salzburg;Yes;Strubergasse;5020;Salzburg;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT32  / Salzburg;AT323  / Salzburg und Umgebung
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);QualiMeat;MCI - Management Center Innsbruck;Yes;Maximilianstrasse;6020;Innsbruck;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT33  / Tirol;AT332  / Innsbruck
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);"nano-to-macro ""n2m""";Paris-Lodron Universität Salzburg;Yes;Hellbrunner Strasse;5020;Salzburg;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT32  / Salzburg;AT323  / Salzburg und Umgebung
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);STS Braunau-Simbach;Stadt-, Tourismus- und Standortmarketing Braunau-Simbach GmbH;Yes;Stadtplatz;5280;Braunau am Inn;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT31  / Oberösterreich;AT311  / Innviertel
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Donauengtal entdecken;Landkreis Passau;Yes;Domplatz;94032;Passau;Germany;http://www.interreg-bayaut.net/;;public;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE22  / Niederbayern;DE222  / Passau, Kreisfreie Stadt
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Phytamin;All Organic Treasures GmbH;Yes;Heisingerstraße;87437;Kempten;Germany;http://www.interreg-bayaut.net/;;private;DE Germany / DEUTSCHLAND;DE2  / BAYERN;DE27  / Schwaben;DE27E  / Oberallgäu
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);EuRegio S-BGL-TS 2015-2017;Regio Salzburg;Yes;Alpenstraße;5020;Salzburg;Austria;http://www.interreg-bayaut.net/;;public;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT32  / Salzburg;AT323  / Salzburg und Umgebung
2014 - 2020 INTERREG V-A Austria - Germany / Bavaria (Bayern - Österreich);Euregio Inntal;Euregio Inntal - Chiemsee - Kaisergebirge - Mangfalltal;Yes;Prof. Sinwel Weg;6330;Kufstein;Austria;http://www.interreg-bayaut.net/;;private;AT Austria / ÖSTERREICH;AT3  / WESTÖSTERREICH;AT33  / Tirol;AT335  / Tiroler Unterland
