"NUTS_ID";"STAT_LEVL_";"SHAPE_AREA";"SHAPE_LEN";"TYPE";"n";"HTYPO";"TYPO"
"UKI5";2;0,05636244458;2,03243373144;"More developed regions";22;FALSE;2
"UKI6";2;0,04611471971;1,49645979682;"More developed regions";12;FALSE;2
"UKI3";2;0,0140954684;0,96573221976;"More developed regions";122;FALSE;2
"UKI4";2;0,0271525252;1,34861549378;"More developed regions";2;FALSE;2
"UKH3";2;0,48025218762;7,77173575568;"More developed regions";77;FALSE;2
"UKG2";2;0,82586078748;7,06340047445;"Transition regions";14;FALSE;4
"UKI7";2;0,06032852313;1,52381562563;"More developed regions";3;FALSE;2
"UKJ1";2;0,74755855373;5,93549408322;"More developed regions";26;FALSE;2
"UKH1";2;1,66508680064;8,91471769695;"More developed regions";158;FALSE;2
"TRA2";2;3,16615875316;11,190978749;"NULL";0;FALSE;3
"UKC1";2;0,42172389731;4,8164920432;"Transition regions";11;FALSE;4
"UKC2";2;0,78718532775;6,28715022827;"More developed regions";53;FALSE;2
"TRB1";2;3,87291941922;11,8279961942;"NULL";0;FALSE;3
"TRB2";2;4,58844251494;13,3174724393;"NULL";0;FALSE;3
"UKD1";2;0,94927948839;7,07260996716;"Transition regions";5;FALSE;4
"UKD3";2;0,17289019299;2,57389043077;"More developed regions";55;FALSE;2
"TRC1";2;1,60139649543;8,58480997319;"NULL";1;FALSE;3
"TRC2";2;3,52203092217;11,1871953049;"NULL";0;FALSE;3
"UKD4";2;0,42062919871;5,22488897318;"Transition regions";21;FALSE;4
"TRC3";2;2,63622236632;10,111982215;"NULL";0;FALSE;3
"UKM6";2;6,17060976678;113,035821004;"Transition regions";189;FALSE;4
