"";"lon";"lat";"type";"loctype";"address";"north";"south";"east";"west";"Location"
"3740";13,640778;45,9309501;"street_address";"rooftop";"trg ivana roba 3a, 5290 šempeter pri gorici, slovenia";45,9322990802915;45,9296011197085;13,6421269802915;13,6394290197085;"trg ivana roba 3a, 5290 šempeter-vrtojba, slovenia"
"3741";13,7932365;45,6585478;"street_address";"rooftop";"piazzale europa, 1, 34127 trieste ts, italy";45,6598967802915;45,6571988197085;13,7945854802915;13,7918875197085;"piazzale europa,1, 34127 trieste, italy"
"3742";13,8287029;45,6572549;"street_address";"rooftop";"galleria padriciano, 99, 34149 padriciano ts, italy";45,6586038802915;45,6559059197085;13,8300518802915;13,8273539197085;"padriciano, 99, 34149  trieste, italy"
"3743";11,7893645;45,0696925;"street_address";"rooftop";"via alessandro casalini, 1, 45100 rovigo ro, italy";45,0710414802915;45,0683435197085;11,7907134802915;11,7880155197085;"via a. casalini 1, 45100 rovigo, italy"
"3744";12,3269875;45,4349735;"city_hall";"rooftop";"sestiere dorsoduro, 3901, 30123 venezia ve, italy";45,4363224802915;45,4336245197085;12,3283364802915;12,3256385197085;"palazzo balbi - dorsoduro, 3901, 30123 venezia, italy"
"3745";12,2534679;45,4727364;"street_address";"rooftop";"via della libertà, 12, 30121 venezia ve, italy";45,4740853802915;45,4713874197085;12,2548168802915;12,2521189197085;"via delle libertà 12 , 30175 venezia marghera, italy"
"3746";14,3642023;46,2465199;"premise";"rooftop";"cesta staneta žagarja 37, 4000 kranj, slovenia";46,2478936802915;46,2451957197085;14,3655952802915;14,3628973197085;"cesta staneta žagarja 37, 4000 kranj, slovenia"
"3747";11,877277;45,4067758;"street_address";"rooftop";"via viii febbraio, 2, 35122 padova pd, italy";45,4081247802915;45,4054268197085;11,8786259802915;11,8759280197085;"via 8 febbraio, 2, 35122 padova, italy"
"3748";14,5184286;46,0606571;"street_address";"rooftop";"hacquetova ulica 17, 1000 ljubljana, slovenia";46,0620060802915;46,0593081197085;14,5197775802915;14,5170796197085;"hacquetova 17, 1000 ljubljana, slovenia"
"3749";13,2347956;46,0628876;"street_address";"rooftop";"via nicolò lionello, 1, 33100 udine ud, italy";46,0642365802915;46,0615386197085;13,2361445802915;13,2334466197085;"via lionello, 1, 33100 udine, italy"
"3750";12,6195966;43,0707017;"locality";"approximate";"06081 assisi, province of perugia, italy";43,0756545;43,0558969;12,6353259;12,6039661;"25, v. s. f. d'assisi , 34100 trieste, italy"
"3751";13,7783769;45,6541959;"premise";"rooftop";"via marco tullio cicerone, 8, 34133 trieste ts, italy";45,6555291802915;45,6528312197085;13,7797361302915;13,7770381697085;"via cicerone, 8, 34133  trieste, italy"
"3752";13,6499397;45,9562257;"establishment";"rooftop";"trg edvarda kardelja 5, 5000 nova gorica, slovenia";45,9575746802915;45,9548767197085;13,6512886802915;13,6485907197085;"trg e. kardelja 3, 5000 nova gorica, slovenia"
"3753";13,6585984;45,9609435;"street_address";"rooftop";"pri hrastu 18, 5000 nova gorica, slovenia";45,9622924802915;45,9595945197085;13,6599473802915;13,6572494197085;"pri hrastu 18, 5000 nova gorica, slovenia"
"3754";12,2554252;45,7230639;"street_address";"range_interpolated";"via roma, 4, 31020 lancenigo tv, italy";45,7244128802915;45,7217149197085;12,2567741802915;12,2540762197085;"via roma 4, 31020 lancenigo di villorba, italy"
"3755";13,5681303;45,519802;"street_address";"range_interpolated";"fornace 40, 6330 piran - pirano, slovenia";45,5211509802915;45,5184530197085;13,5694792802915;13,5667813197085;"fornace 40, 6330 piran, slovenia"
"3756";13,6488414;45,9572629;"city_hall";"rooftop";"trg edvarda kardelja 1, 5000 nova gorica, slovenia";45,9586118802915;45,9559139197085;13,6501903802915;13,6474924197085;"trg e. kardelja 1, 5000 nova gorica, slovenia"
"3757";14,5148274;46,0715896;"street_address";"rooftop";"dimiceva ulica 13, 1000 ljubljana, slovenia";46,0729385802915;46,0702406197085;14,5161763802915;14,5134784197085;"dimiceva ulica 13, 1000 ljubljana, slovenia"
